title,company,location,salary,description
Australia- Business Intelligence Analysts,AP Global Services Pvt. ltd.,Bengaluru,"416,667
						-
						500,000 ",
Saudi Arabia- Pilot,AP Global Services Pvt. ltd.,Bengaluru,"7,083,333
						-
						7,500,000 ",
Germany-Principal Scientist Med Chemistry,AP Global Services Pvt. ltd.,Bengaluru,"458,333
						-
						541,667 ",
Visa Counsellor,Unique World,Vesu,"20,000
						-
						400,000 ",
(Australia) Construction Project Manager,AP Global Services Pvt. ltd.,Bengaluru,"458,333
						-
						791,667 ",
(UAE) Fusion HCM Techno-Functional,Salesman Corporation Private Limited Opc,Lucknow,"900,000
						-
						999,999 ",
Hong Kong- Senior UI Software Engineer,AP Global Services Pvt. ltd.,Bengaluru,"291,667
						-
						375,000 ",
